catalogue_index	tf_symbol	present_in_rna	exclusion_reason	reference_name	reference_version
188	EHF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
189	ELF1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
190	ELF2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
191	ELF3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
192	ELF4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
193	ELF5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
194	ELK1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
195	ELK3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
196	ELK4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
197	EMX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
198	EMX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
199	EN1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
200	EN2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
201	EOMES	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
203	ERF	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
206	ESR2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
207	ESRRA	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
209	ESRRG	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
210	ESX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
211	ETS1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
212	ETS2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
213	ETV1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
214	ETV2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
215	ETV3	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
217	ETV4	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
218	ETV5	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
220	ETV7	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
221	EVX1	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
222	EVX2	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
223	FAM170A	False	not_present_in_current_rna_gene_universe	Lambert_human_TFs	v1.01
