tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
TGIF2LX	TGIF2LX	950	Lambert_human_TFs	v1.01
TGIF2LY	TGIF2LY	951	Lambert_human_TFs	v1.01
THAP1	THAP1	952	Lambert_human_TFs	v1.01
THAP10	THAP10	953	Lambert_human_TFs	v1.01
THAP11	THAP11	954	Lambert_human_TFs	v1.01
THAP12	THAP12	955	Lambert_human_TFs	v1.01
THAP2	THAP2	956	Lambert_human_TFs	v1.01
THAP3	THAP3	957	Lambert_human_TFs	v1.01
THAP4	THAP4	958	Lambert_human_TFs	v1.01
THAP5	THAP5	959	Lambert_human_TFs	v1.01
THAP6	THAP6	960	Lambert_human_TFs	v1.01
THAP7	THAP7	961	Lambert_human_TFs	v1.01
THAP8	THAP8	962	Lambert_human_TFs	v1.01
THAP9	THAP9	963	Lambert_human_TFs	v1.01
THRA	THRA	964	Lambert_human_TFs	v1.01
THRB	THRB	965	Lambert_human_TFs	v1.01
THYN1	THYN1	966	Lambert_human_TFs	v1.01
TIGD1	TIGD1	967	Lambert_human_TFs	v1.01
TIGD2	TIGD2	968	Lambert_human_TFs	v1.01
TIGD3	TIGD3	969	Lambert_human_TFs	v1.01
TIGD4	TIGD4	970	Lambert_human_TFs	v1.01
TIGD5	TIGD5	971	Lambert_human_TFs	v1.01
TIGD6	TIGD6	972	Lambert_human_TFs	v1.01
TIGD7	TIGD7	973	Lambert_human_TFs	v1.01
TLX1	TLX1	974	Lambert_human_TFs	v1.01
TLX2	TLX2	975	Lambert_human_TFs	v1.01
TLX3	TLX3	976	Lambert_human_TFs	v1.01
TMF1	TMF1	977	Lambert_human_TFs	v1.01
TOPORS	TOPORS	978	Lambert_human_TFs	v1.01
TP53	TP53	979	Lambert_human_TFs	v1.01
TP63	TP63	980	Lambert_human_TFs	v1.01
TP73	TP73	981	Lambert_human_TFs	v1.01
TPRX1	TPRX1	982	Lambert_human_TFs	v1.01
TRAFD1	TRAFD1	983	Lambert_human_TFs	v1.01
TRERF1	TRERF1	984	Lambert_human_TFs	v1.01
TRPS1	TRPS1	985	Lambert_human_TFs	v1.01
TSC22D1	TSC22D1	986	Lambert_human_TFs	v1.01
TSHZ1	TSHZ1	987	Lambert_human_TFs	v1.01
TSHZ2	TSHZ2	988	Lambert_human_TFs	v1.01
TSHZ3	TSHZ3	989	Lambert_human_TFs	v1.01
TTF1	TTF1	990	Lambert_human_TFs	v1.01
TWIST1	TWIST1	991	Lambert_human_TFs	v1.01
TWIST2	TWIST2	992	Lambert_human_TFs	v1.01
UBP1	UBP1	993	Lambert_human_TFs	v1.01
UNCX	UNCX	994	Lambert_human_TFs	v1.01
USF1	USF1	995	Lambert_human_TFs	v1.01
USF2	USF2	996	Lambert_human_TFs	v1.01
USF3	USF3	997	Lambert_human_TFs	v1.01
VAX1	VAX1	998	Lambert_human_TFs	v1.01
VAX2	VAX2	999	Lambert_human_TFs	v1.01
VDR	VDR	1000	Lambert_human_TFs	v1.01
VENTX	VENTX	1001	Lambert_human_TFs	v1.01
VEZF1	VEZF1	1002	Lambert_human_TFs	v1.01
VSX1	VSX1	1003	Lambert_human_TFs	v1.01
VSX2	VSX2	1004	Lambert_human_TFs	v1.01
WIZ	WIZ	1005	Lambert_human_TFs	v1.01
WT1	WT1	1006	Lambert_human_TFs	v1.01
XBP1	XBP1	1007	Lambert_human_TFs	v1.01
XPA	XPA	1008	Lambert_human_TFs	v1.01
YBX1	YBX1	1009	Lambert_human_TFs	v1.01
YBX2	YBX2	1010	Lambert_human_TFs	v1.01
YBX3	YBX3	1011	Lambert_human_TFs	v1.01
YY1	YY1	1012	Lambert_human_TFs	v1.01
YY2	YY2	1013	Lambert_human_TFs	v1.01
ZBED1	ZBED1	1014	Lambert_human_TFs	v1.01
ZBED2	ZBED2	1015	Lambert_human_TFs	v1.01
ZBED3	ZBED3	1016	Lambert_human_TFs	v1.01
ZBED4	ZBED4	1017	Lambert_human_TFs	v1.01
ZBED5	ZBED5	1018	Lambert_human_TFs	v1.01
ZBED6	ZBED6	1019	Lambert_human_TFs	v1.01
ZBED9	ZBED9	1020	Lambert_human_TFs	v1.01
ZBTB1	ZBTB1	1021	Lambert_human_TFs	v1.01
ZBTB10	ZBTB10	1022	Lambert_human_TFs	v1.01
ZBTB11	ZBTB11	1023	Lambert_human_TFs	v1.01
ZBTB12	ZBTB12	1024	Lambert_human_TFs	v1.01
ZBTB14	ZBTB14	1025	Lambert_human_TFs	v1.01
ZBTB16	ZBTB16	1026	Lambert_human_TFs	v1.01
ZBTB17	ZBTB17	1027	Lambert_human_TFs	v1.01
ZBTB18	ZBTB18	1028	Lambert_human_TFs	v1.01
ZBTB2	ZBTB2	1029	Lambert_human_TFs	v1.01
ZBTB20	ZBTB20	1030	Lambert_human_TFs	v1.01
ZBTB21	ZBTB21	1031	Lambert_human_TFs	v1.01
ZBTB22	ZBTB22	1032	Lambert_human_TFs	v1.01
ZBTB24	ZBTB24	1033	Lambert_human_TFs	v1.01
ZBTB25	ZBTB25	1034	Lambert_human_TFs	v1.01
ZBTB26	ZBTB26	1035	Lambert_human_TFs	v1.01
ZBTB3	ZBTB3	1036	Lambert_human_TFs	v1.01
ZBTB32	ZBTB32	1037	Lambert_human_TFs	v1.01
ZBTB33	ZBTB33	1038	Lambert_human_TFs	v1.01
ZBTB34	ZBTB34	1039	Lambert_human_TFs	v1.01
ZBTB37	ZBTB37	1040	Lambert_human_TFs	v1.01
ZBTB38	ZBTB38	1041	Lambert_human_TFs	v1.01
ZBTB39	ZBTB39	1042	Lambert_human_TFs	v1.01
ZBTB4	ZBTB4	1043	Lambert_human_TFs	v1.01
ZBTB40	ZBTB40	1044	Lambert_human_TFs	v1.01
ZBTB41	ZBTB41	1045	Lambert_human_TFs	v1.01
ZBTB42	ZBTB42	1046	Lambert_human_TFs	v1.01
ZBTB43	ZBTB43	1047	Lambert_human_TFs	v1.01
ZBTB44	ZBTB44	1048	Lambert_human_TFs	v1.01
ZBTB45	ZBTB45	1049	Lambert_human_TFs	v1.01
ZBTB46	ZBTB46	1050	Lambert_human_TFs	v1.01
ZBTB47	ZBTB47	1051	Lambert_human_TFs	v1.01
ZBTB48	ZBTB48	1052	Lambert_human_TFs	v1.01
ZBTB49	ZBTB49	1053	Lambert_human_TFs	v1.01
ZBTB5	ZBTB5	1054	Lambert_human_TFs	v1.01
ZBTB6	ZBTB6	1055	Lambert_human_TFs	v1.01
ZBTB7A	ZBTB7A	1056	Lambert_human_TFs	v1.01
ZBTB7B	ZBTB7B	1057	Lambert_human_TFs	v1.01
ZBTB7C	ZBTB7C	1058	Lambert_human_TFs	v1.01
ZBTB8A	ZBTB8A	1059	Lambert_human_TFs	v1.01
ZBTB8B	ZBTB8B	1060	Lambert_human_TFs	v1.01
ZBTB9	ZBTB9	1061	Lambert_human_TFs	v1.01
ZC3H8	ZC3H8	1062	Lambert_human_TFs	v1.01
ZEB1	ZEB1	1063	Lambert_human_TFs	v1.01
ZEB2	ZEB2	1064	Lambert_human_TFs	v1.01
ZFAT	ZFAT	1065	Lambert_human_TFs	v1.01
ZFHX2	ZFHX2	1066	Lambert_human_TFs	v1.01
ZFHX3	ZFHX3	1067	Lambert_human_TFs	v1.01
ZFHX4	ZFHX4	1068	Lambert_human_TFs	v1.01
ZFP1	ZFP1	1069	Lambert_human_TFs	v1.01
ZFP14	ZFP14	1070	Lambert_human_TFs	v1.01
ZFP2	ZFP2	1071	Lambert_human_TFs	v1.01
ZFP28	ZFP28	1072	Lambert_human_TFs	v1.01
ZFP3	ZFP3	1073	Lambert_human_TFs	v1.01
ZFP30	ZFP30	1074	Lambert_human_TFs	v1.01
ZFP37	ZFP37	1075	Lambert_human_TFs	v1.01
ZFP41	ZFP41	1076	Lambert_human_TFs	v1.01
ZFP42	ZFP42	1077	Lambert_human_TFs	v1.01
ZFP57	ZFP57	1078	Lambert_human_TFs	v1.01
ZFP62	ZFP62	1079	Lambert_human_TFs	v1.01
ZFP64	ZFP64	1080	Lambert_human_TFs	v1.01
ZFP69	ZFP69	1081	Lambert_human_TFs	v1.01
ZFP69B	ZFP69B	1082	Lambert_human_TFs	v1.01
ZFP82	ZFP82	1083	Lambert_human_TFs	v1.01
ZFP90	ZFP90	1084	Lambert_human_TFs	v1.01
ZFP91	ZFP91	1085	Lambert_human_TFs	v1.01
ZFP92	ZFP92	1086	Lambert_human_TFs	v1.01
ZFPM1	ZFPM1	1087	Lambert_human_TFs	v1.01
ZFPM2	ZFPM2	1088	Lambert_human_TFs	v1.01
ZFX	ZFX	1089	Lambert_human_TFs	v1.01
ZFY	ZFY	1090	Lambert_human_TFs	v1.01
ZGLP1	ZGLP1	1091	Lambert_human_TFs	v1.01
ZGPAT	ZGPAT	1092	Lambert_human_TFs	v1.01
ZHX1	ZHX1	1093	Lambert_human_TFs	v1.01
ZHX2	ZHX2	1094	Lambert_human_TFs	v1.01
ZHX3	ZHX3	1095	Lambert_human_TFs	v1.01
ZIC1	ZIC1	1096	Lambert_human_TFs	v1.01
ZIC2	ZIC2	1097	Lambert_human_TFs	v1.01
ZIC3	ZIC3	1098	Lambert_human_TFs	v1.01
ZIC4	ZIC4	1099	Lambert_human_TFs	v1.01
ZIC5	ZIC5	1100	Lambert_human_TFs	v1.01
ZIK1	ZIK1	1101	Lambert_human_TFs	v1.01
ZIM2	ZIM2	1102	Lambert_human_TFs	v1.01
ZIM3	ZIM3	1103	Lambert_human_TFs	v1.01
ZKSCAN1	ZKSCAN1	1104	Lambert_human_TFs	v1.01
ZKSCAN2	ZKSCAN2	1105	Lambert_human_TFs	v1.01
ZKSCAN3	ZKSCAN3	1106	Lambert_human_TFs	v1.01
ZKSCAN4	ZKSCAN4	1107	Lambert_human_TFs	v1.01
ZKSCAN5	ZKSCAN5	1108	Lambert_human_TFs	v1.01
ZKSCAN7	ZKSCAN7	1109	Lambert_human_TFs	v1.01
ZKSCAN8	ZKSCAN8	1110	Lambert_human_TFs	v1.01
ZMAT1	ZMAT1	1111	Lambert_human_TFs	v1.01
ZMAT4	ZMAT4	1112	Lambert_human_TFs	v1.01
ZNF10	ZNF10	1113	Lambert_human_TFs	v1.01
ZNF100	ZNF100	1114	Lambert_human_TFs	v1.01
ZNF101	ZNF101	1115	Lambert_human_TFs	v1.01
ZNF107	ZNF107	1116	Lambert_human_TFs	v1.01
ZNF112	ZNF112	1117	Lambert_human_TFs	v1.01
ZNF114	ZNF114	1118	Lambert_human_TFs	v1.01
ZNF117	ZNF117	1119	Lambert_human_TFs	v1.01
ZNF12	ZNF12	1120	Lambert_human_TFs	v1.01
ZNF121	ZNF121	1121	Lambert_human_TFs	v1.01
ZNF124	ZNF124	1122	Lambert_human_TFs	v1.01
ZNF131	ZNF131	1123	Lambert_human_TFs	v1.01
ZNF132	ZNF132	1124	Lambert_human_TFs	v1.01
ZNF133	ZNF133	1125	Lambert_human_TFs	v1.01
ZNF134	ZNF134	1126	Lambert_human_TFs	v1.01
ZNF135	ZNF135	1127	Lambert_human_TFs	v1.01
ZNF136	ZNF136	1128	Lambert_human_TFs	v1.01
ZNF138	ZNF138	1129	Lambert_human_TFs	v1.01
ZNF14	ZNF14	1130	Lambert_human_TFs	v1.01
ZNF140	ZNF140	1131	Lambert_human_TFs	v1.01
ZNF141	ZNF141	1132	Lambert_human_TFs	v1.01
ZNF142	ZNF142	1133	Lambert_human_TFs	v1.01
ZNF143	ZNF143	1134	Lambert_human_TFs	v1.01
ZNF146	ZNF146	1135	Lambert_human_TFs	v1.01
ZNF148	ZNF148	1136	Lambert_human_TFs	v1.01
ZNF154	ZNF154	1137	Lambert_human_TFs	v1.01
ZNF155	ZNF155	1138	Lambert_human_TFs	v1.01
ZNF157	ZNF157	1139	Lambert_human_TFs	v1.01
ZNF16	ZNF16	1140	Lambert_human_TFs	v1.01
ZNF160	ZNF160	1141	Lambert_human_TFs	v1.01
ZNF165	ZNF165	1142	Lambert_human_TFs	v1.01
ZNF169	ZNF169	1143	Lambert_human_TFs	v1.01
ZNF17	ZNF17	1144	Lambert_human_TFs	v1.01
ZNF174	ZNF174	1145	Lambert_human_TFs	v1.01
ZNF175	ZNF175	1146	Lambert_human_TFs	v1.01
ZNF177	ZNF177	1147	Lambert_human_TFs	v1.01
ZNF18	ZNF18	1148	Lambert_human_TFs	v1.01
ZNF180	ZNF180	1149	Lambert_human_TFs	v1.01
ZNF181	ZNF181	1150	Lambert_human_TFs	v1.01
ZNF182	ZNF182	1151	Lambert_human_TFs	v1.01
ZNF184	ZNF184	1152	Lambert_human_TFs	v1.01
ZNF189	ZNF189	1153	Lambert_human_TFs	v1.01
ZNF19	ZNF19	1154	Lambert_human_TFs	v1.01
ZNF195	ZNF195	1155	Lambert_human_TFs	v1.01
ZNF197	ZNF197	1156	Lambert_human_TFs	v1.01
ZNF2	ZNF2	1157	Lambert_human_TFs	v1.01
ZNF20	ZNF20	1158	Lambert_human_TFs	v1.01
ZNF200	ZNF200	1159	Lambert_human_TFs	v1.01
ZNF202	ZNF202	1160	Lambert_human_TFs	v1.01
ZNF205	ZNF205	1161	Lambert_human_TFs	v1.01
ZNF207	ZNF207	1162	Lambert_human_TFs	v1.01
ZNF208	ZNF208	1163	Lambert_human_TFs	v1.01
ZNF211	ZNF211	1164	Lambert_human_TFs	v1.01
ZNF212	ZNF212	1165	Lambert_human_TFs	v1.01
ZNF213	ZNF213	1166	Lambert_human_TFs	v1.01
ZNF214	ZNF214	1167	Lambert_human_TFs	v1.01
ZNF215	ZNF215	1168	Lambert_human_TFs	v1.01
ZNF217	ZNF217	1169	Lambert_human_TFs	v1.01
ZNF219	ZNF219	1170	Lambert_human_TFs	v1.01
ZNF22	ZNF22	1171	Lambert_human_TFs	v1.01
ZNF221	ZNF221	1172	Lambert_human_TFs	v1.01
ZNF222	ZNF222	1173	Lambert_human_TFs	v1.01
ZNF223	ZNF223	1174	Lambert_human_TFs	v1.01
ZNF224	ZNF224	1175	Lambert_human_TFs	v1.01
ZNF225	ZNF225	1176	Lambert_human_TFs	v1.01
ZNF226	ZNF226	1177	Lambert_human_TFs	v1.01
ZNF227	ZNF227	1178	Lambert_human_TFs	v1.01
ZNF229	ZNF229	1179	Lambert_human_TFs	v1.01
ZNF23	ZNF23	1180	Lambert_human_TFs	v1.01
ZNF230	ZNF230	1181	Lambert_human_TFs	v1.01
ZNF232	ZNF232	1182	Lambert_human_TFs	v1.01
ZNF233	ZNF233	1183	Lambert_human_TFs	v1.01
ZNF234	ZNF234	1184	Lambert_human_TFs	v1.01
ZNF235	ZNF235	1185	Lambert_human_TFs	v1.01
ZNF236	ZNF236	1186	Lambert_human_TFs	v1.01
ZNF239	ZNF239	1187	Lambert_human_TFs	v1.01
ZNF24	ZNF24	1188	Lambert_human_TFs	v1.01
ZNF248	ZNF248	1189	Lambert_human_TFs	v1.01
ZNF25	ZNF25	1190	Lambert_human_TFs	v1.01
ZNF250	ZNF250	1191	Lambert_human_TFs	v1.01
ZNF251	ZNF251	1192	Lambert_human_TFs	v1.01
ZNF253	ZNF253	1193	Lambert_human_TFs	v1.01
ZNF254	ZNF254	1194	Lambert_human_TFs	v1.01
ZNF256	ZNF256	1195	Lambert_human_TFs	v1.01
ZNF257	ZNF257	1196	Lambert_human_TFs	v1.01
ZNF26	ZNF26	1197	Lambert_human_TFs	v1.01
ZNF260	ZNF260	1198	Lambert_human_TFs	v1.01
ZNF263	ZNF263	1199	Lambert_human_TFs	v1.01
ZNF264	ZNF264	1200	Lambert_human_TFs	v1.01
ZNF266	ZNF266	1201	Lambert_human_TFs	v1.01
ZNF267	ZNF267	1202	Lambert_human_TFs	v1.01
ZNF268	ZNF268	1203	Lambert_human_TFs	v1.01
ZNF273	ZNF273	1204	Lambert_human_TFs	v1.01
ZNF274	ZNF274	1205	Lambert_human_TFs	v1.01
ZNF275	ZNF275	1206	Lambert_human_TFs	v1.01
ZNF276	ZNF276	1207	Lambert_human_TFs	v1.01
ZNF277	ZNF277	1208	Lambert_human_TFs	v1.01
ZNF28	ZNF28	1209	Lambert_human_TFs	v1.01
ZNF280A	ZNF280A	1210	Lambert_human_TFs	v1.01
ZNF280B	ZNF280B	1211	Lambert_human_TFs	v1.01
ZNF280C	ZNF280C	1212	Lambert_human_TFs	v1.01
ZNF280D	ZNF280D	1213	Lambert_human_TFs	v1.01
ZNF281	ZNF281	1214	Lambert_human_TFs	v1.01
ZNF282	ZNF282	1215	Lambert_human_TFs	v1.01
ZNF283	ZNF283	1216	Lambert_human_TFs	v1.01
ZNF284	ZNF284	1217	Lambert_human_TFs	v1.01
ZNF285	ZNF285	1218	Lambert_human_TFs	v1.01
ZNF286A	ZNF286A	1219	Lambert_human_TFs	v1.01
ZNF286B	ZNF286B	1220	Lambert_human_TFs	v1.01
ZNF287	ZNF287	1221	Lambert_human_TFs	v1.01
ZNF292	ZNF292	1222	Lambert_human_TFs	v1.01
ZNF296	ZNF296	1223	Lambert_human_TFs	v1.01
ZNF3	ZNF3	1224	Lambert_human_TFs	v1.01
ZNF30	ZNF30	1225	Lambert_human_TFs	v1.01
ZNF300	ZNF300	1226	Lambert_human_TFs	v1.01
ZNF302	ZNF302	1227	Lambert_human_TFs	v1.01
ZNF304	ZNF304	1228	Lambert_human_TFs	v1.01
ZNF311	ZNF311	1229	Lambert_human_TFs	v1.01
ZNF316	ZNF316	1230	Lambert_human_TFs	v1.01
ZNF317	ZNF317	1231	Lambert_human_TFs	v1.01
ZNF318	ZNF318	1232	Lambert_human_TFs	v1.01
ZNF319	ZNF319	1233	Lambert_human_TFs	v1.01
ZNF32	ZNF32	1234	Lambert_human_TFs	v1.01
ZNF320	ZNF320	1235	Lambert_human_TFs	v1.01
ZNF322	ZNF322	1236	Lambert_human_TFs	v1.01
ZNF324	ZNF324	1237	Lambert_human_TFs	v1.01
ZNF324B	ZNF324B	1238	Lambert_human_TFs	v1.01
ZNF326	ZNF326	1239	Lambert_human_TFs	v1.01
ZNF329	ZNF329	1240	Lambert_human_TFs	v1.01
ZNF331	ZNF331	1241	Lambert_human_TFs	v1.01
ZNF333	ZNF333	1242	Lambert_human_TFs	v1.01
ZNF334	ZNF334	1243	Lambert_human_TFs	v1.01
ZNF335	ZNF335	1244	Lambert_human_TFs	v1.01
ZNF337	ZNF337	1245	Lambert_human_TFs	v1.01
ZNF33A	ZNF33A	1246	Lambert_human_TFs	v1.01
ZNF33B	ZNF33B	1247	Lambert_human_TFs	v1.01
ZNF34	ZNF34	1248	Lambert_human_TFs	v1.01
ZNF341	ZNF341	1249	Lambert_human_TFs	v1.01
ZNF343	ZNF343	1250	Lambert_human_TFs	v1.01
ZNF345	ZNF345	1251	Lambert_human_TFs	v1.01
ZNF346	ZNF346	1252	Lambert_human_TFs	v1.01
ZNF347	ZNF347	1253	Lambert_human_TFs	v1.01
ZNF35	ZNF35	1254	Lambert_human_TFs	v1.01
ZNF350	ZNF350	1255	Lambert_human_TFs	v1.01
ZNF354A	ZNF354A	1256	Lambert_human_TFs	v1.01
ZNF354B	ZNF354B	1257	Lambert_human_TFs	v1.01
ZNF354C	ZNF354C	1258	Lambert_human_TFs	v1.01
ZNF358	ZNF358	1259	Lambert_human_TFs	v1.01
ZNF362	ZNF362	1260	Lambert_human_TFs	v1.01
ZNF365	ZNF365	1261	Lambert_human_TFs	v1.01
ZNF366	ZNF366	1262	Lambert_human_TFs	v1.01
ZNF367	ZNF367	1263	Lambert_human_TFs	v1.01
ZNF37A	ZNF37A	1264	Lambert_human_TFs	v1.01
ZNF382	ZNF382	1265	Lambert_human_TFs	v1.01
ZNF383	ZNF383	1266	Lambert_human_TFs	v1.01
ZNF384	ZNF384	1267	Lambert_human_TFs	v1.01
ZNF385A	ZNF385A	1268	Lambert_human_TFs	v1.01
ZNF385B	ZNF385B	1269	Lambert_human_TFs	v1.01
ZNF385C	ZNF385C	1270	Lambert_human_TFs	v1.01
ZNF385D	ZNF385D	1271	Lambert_human_TFs	v1.01
ZNF391	ZNF391	1272	Lambert_human_TFs	v1.01
ZNF394	ZNF394	1273	Lambert_human_TFs	v1.01
ZNF395	ZNF395	1274	Lambert_human_TFs	v1.01
ZNF396	ZNF396	1275	Lambert_human_TFs	v1.01
ZNF397	ZNF397	1276	Lambert_human_TFs	v1.01
ZNF398	ZNF398	1277	Lambert_human_TFs	v1.01
ZNF404	ZNF404	1278	Lambert_human_TFs	v1.01
ZNF407	ZNF407	1279	Lambert_human_TFs	v1.01
ZNF408	ZNF408	1280	Lambert_human_TFs	v1.01
ZNF41	ZNF41	1281	Lambert_human_TFs	v1.01
ZNF410	ZNF410	1282	Lambert_human_TFs	v1.01
ZNF414	ZNF414	1283	Lambert_human_TFs	v1.01
ZNF415	ZNF415	1284	Lambert_human_TFs	v1.01
ZNF416	ZNF416	1285	Lambert_human_TFs	v1.01
ZNF417	ZNF417	1286	Lambert_human_TFs	v1.01
ZNF418	ZNF418	1287	Lambert_human_TFs	v1.01
ZNF419	ZNF419	1288	Lambert_human_TFs	v1.01
ZNF420	ZNF420	1289	Lambert_human_TFs	v1.01
ZNF423	ZNF423	1290	Lambert_human_TFs	v1.01
ZNF425	ZNF425	1291	Lambert_human_TFs	v1.01
ZNF426	ZNF426	1292	Lambert_human_TFs	v1.01
ZNF428	ZNF428	1293	Lambert_human_TFs	v1.01
ZNF429	ZNF429	1294	Lambert_human_TFs	v1.01
ZNF43	ZNF43	1295	Lambert_human_TFs	v1.01
ZNF430	ZNF430	1296	Lambert_human_TFs	v1.01
ZNF431	ZNF431	1297	Lambert_human_TFs	v1.01
ZNF432	ZNF432	1298	Lambert_human_TFs	v1.01
ZNF433	ZNF433	1299	Lambert_human_TFs	v1.01
ZNF436	ZNF436	1300	Lambert_human_TFs	v1.01
ZNF438	ZNF438	1301	Lambert_human_TFs	v1.01
ZNF439	ZNF439	1302	Lambert_human_TFs	v1.01
ZNF44	ZNF44	1303	Lambert_human_TFs	v1.01
ZNF440	ZNF440	1304	Lambert_human_TFs	v1.01
ZNF441	ZNF441	1305	Lambert_human_TFs	v1.01
ZNF442	ZNF442	1306	Lambert_human_TFs	v1.01
ZNF443	ZNF443	1307	Lambert_human_TFs	v1.01
ZNF444	ZNF444	1308	Lambert_human_TFs	v1.01
ZNF445	ZNF445	1309	Lambert_human_TFs	v1.01
ZNF446	ZNF446	1310	Lambert_human_TFs	v1.01
ZNF449	ZNF449	1311	Lambert_human_TFs	v1.01
ZNF45	ZNF45	1312	Lambert_human_TFs	v1.01
ZNF451	ZNF451	1313	Lambert_human_TFs	v1.01
ZNF454	ZNF454	1314	Lambert_human_TFs	v1.01
ZNF460	ZNF460	1315	Lambert_human_TFs	v1.01
ZNF461	ZNF461	1316	Lambert_human_TFs	v1.01
ZNF462	ZNF462	1317	Lambert_human_TFs	v1.01
ZNF467	ZNF467	1318	Lambert_human_TFs	v1.01
ZNF468	ZNF468	1319	Lambert_human_TFs	v1.01
ZNF469	ZNF469	1320	Lambert_human_TFs	v1.01
ZNF470	ZNF470	1321	Lambert_human_TFs	v1.01
ZNF471	ZNF471	1322	Lambert_human_TFs	v1.01
ZNF473	ZNF473	1323	Lambert_human_TFs	v1.01
ZNF474	ZNF474	1324	Lambert_human_TFs	v1.01
ZNF479	ZNF479	1325	Lambert_human_TFs	v1.01
ZNF48	ZNF48	1326	Lambert_human_TFs	v1.01
ZNF480	ZNF480	1327	Lambert_human_TFs	v1.01
ZNF483	ZNF483	1328	Lambert_human_TFs	v1.01
ZNF484	ZNF484	1329	Lambert_human_TFs	v1.01
ZNF485	ZNF485	1330	Lambert_human_TFs	v1.01
ZNF486	ZNF486	1331	Lambert_human_TFs	v1.01
ZNF487	ZNF487	1332	Lambert_human_TFs	v1.01
ZNF488	ZNF488	1333	Lambert_human_TFs	v1.01
ZNF490	ZNF490	1334	Lambert_human_TFs	v1.01
ZNF491	ZNF491	1335	Lambert_human_TFs	v1.01
ZNF492	ZNF492	1336	Lambert_human_TFs	v1.01
ZNF493	ZNF493	1337	Lambert_human_TFs	v1.01
ZNF496	ZNF496	1338	Lambert_human_TFs	v1.01
ZNF497	ZNF497	1339	Lambert_human_TFs	v1.01
ZNF500	ZNF500	1340	Lambert_human_TFs	v1.01
ZNF501	ZNF501	1341	Lambert_human_TFs	v1.01
ZNF502	ZNF502	1342	Lambert_human_TFs	v1.01
ZNF503	ZNF503	1343	Lambert_human_TFs	v1.01
ZNF506	ZNF506	1344	Lambert_human_TFs	v1.01
ZNF507	ZNF507	1345	Lambert_human_TFs	v1.01
ZNF510	ZNF510	1346	Lambert_human_TFs	v1.01
ZNF511	ZNF511	1347	Lambert_human_TFs	v1.01
ZNF512	ZNF512	1348	Lambert_human_TFs	v1.01
ZNF512B	ZNF512B	1349	Lambert_human_TFs	v1.01
ZNF513	ZNF513	1350	Lambert_human_TFs	v1.01
ZNF514	ZNF514	1351	Lambert_human_TFs	v1.01
ZNF516	ZNF516	1352	Lambert_human_TFs	v1.01
ZNF517	ZNF517	1353	Lambert_human_TFs	v1.01
ZNF518A	ZNF518A	1354	Lambert_human_TFs	v1.01
ZNF518B	ZNF518B	1355	Lambert_human_TFs	v1.01
ZNF519	ZNF519	1356	Lambert_human_TFs	v1.01
ZNF521	ZNF521	1357	Lambert_human_TFs	v1.01
ZNF524	ZNF524	1358	Lambert_human_TFs	v1.01
ZNF525	ZNF525	1359	Lambert_human_TFs	v1.01
ZNF526	ZNF526	1360	Lambert_human_TFs	v1.01
ZNF527	ZNF527	1361	Lambert_human_TFs	v1.01
ZNF528	ZNF528	1362	Lambert_human_TFs	v1.01
ZNF529	ZNF529	1363	Lambert_human_TFs	v1.01
ZNF530	ZNF530	1364	Lambert_human_TFs	v1.01
ZNF532	ZNF532	1365	Lambert_human_TFs	v1.01
ZNF534	ZNF534	1366	Lambert_human_TFs	v1.01
ZNF536	ZNF536	1367	Lambert_human_TFs	v1.01
ZNF540	ZNF540	1368	Lambert_human_TFs	v1.01
ZNF541	ZNF541	1369	Lambert_human_TFs	v1.01
ZNF543	ZNF543	1370	Lambert_human_TFs	v1.01
ZNF544	ZNF544	1371	Lambert_human_TFs	v1.01
ZNF546	ZNF546	1372	Lambert_human_TFs	v1.01
ZNF547	ZNF547	1373	Lambert_human_TFs	v1.01
ZNF548	ZNF548	1374	Lambert_human_TFs	v1.01
ZNF549	ZNF549	1375	Lambert_human_TFs	v1.01
ZNF550	ZNF550	1376	Lambert_human_TFs	v1.01
ZNF551	ZNF551	1377	Lambert_human_TFs	v1.01
ZNF552	ZNF552	1378	Lambert_human_TFs	v1.01
ZNF554	ZNF554	1379	Lambert_human_TFs	v1.01
ZNF555	ZNF555	1380	Lambert_human_TFs	v1.01
ZNF556	ZNF556	1381	Lambert_human_TFs	v1.01
ZNF557	ZNF557	1382	Lambert_human_TFs	v1.01
ZNF558	ZNF558	1383	Lambert_human_TFs	v1.01
ZNF559	ZNF559	1384	Lambert_human_TFs	v1.01
ZNF560	ZNF560	1385	Lambert_human_TFs	v1.01
ZNF561	ZNF561	1386	Lambert_human_TFs	v1.01
ZNF562	ZNF562	1387	Lambert_human_TFs	v1.01
ZNF563	ZNF563	1388	Lambert_human_TFs	v1.01
ZNF564	ZNF564	1389	Lambert_human_TFs	v1.01
ZNF565	ZNF565	1390	Lambert_human_TFs	v1.01
ZNF566	ZNF566	1391	Lambert_human_TFs	v1.01
ZNF567	ZNF567	1392	Lambert_human_TFs	v1.01
ZNF568	ZNF568	1393	Lambert_human_TFs	v1.01
ZNF569	ZNF569	1394	Lambert_human_TFs	v1.01
ZNF57	ZNF57	1395	Lambert_human_TFs	v1.01
ZNF570	ZNF570	1396	Lambert_human_TFs	v1.01
ZNF571	ZNF571	1397	Lambert_human_TFs	v1.01
ZNF572	ZNF572	1398	Lambert_human_TFs	v1.01
