tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version
DNTTIP1	DNTTIP1	157	Lambert_human_TFs	v1.01
DOT1L	DOT1L	158	Lambert_human_TFs	v1.01
DPF1	DPF1	159	Lambert_human_TFs	v1.01
DPF3	DPF3	160	Lambert_human_TFs	v1.01
DPRX	DPRX	161	Lambert_human_TFs	v1.01
DR1	DR1	162	Lambert_human_TFs	v1.01
DRAP1	DRAP1	163	Lambert_human_TFs	v1.01
DRGX	DRGX	164	Lambert_human_TFs	v1.01
DUX1	DUX1	165	Lambert_human_TFs	v1.01
DUX3	DUX3	166	Lambert_human_TFs	v1.01
DUX4	DUX4	167	Lambert_human_TFs	v1.01
DUXA	DUXA	168	Lambert_human_TFs	v1.01
DZIP1	DZIP1	169	Lambert_human_TFs	v1.01
E2F1	E2F1	170	Lambert_human_TFs	v1.01
E2F2	E2F2	171	Lambert_human_TFs	v1.01
E2F3	E2F3	172	Lambert_human_TFs	v1.01
E2F4	E2F4	173	Lambert_human_TFs	v1.01
E2F5	E2F5	174	Lambert_human_TFs	v1.01
E2F6	E2F6	175	Lambert_human_TFs	v1.01
E2F7	E2F7	176	Lambert_human_TFs	v1.01
E2F8	E2F8	177	Lambert_human_TFs	v1.01
E4F1	E4F1	178	Lambert_human_TFs	v1.01
EBF1	EBF1	179	Lambert_human_TFs	v1.01
EBF2	EBF2	180	Lambert_human_TFs	v1.01
EBF3	EBF3	181	Lambert_human_TFs	v1.01
EBF4	EBF4	182	Lambert_human_TFs	v1.01
EEA1	EEA1	183	Lambert_human_TFs	v1.01
EGR1	EGR1	184	Lambert_human_TFs	v1.01
EGR2	EGR2	185	Lambert_human_TFs	v1.01
EGR3	EGR3	186	Lambert_human_TFs	v1.01
EGR4	EGR4	187	Lambert_human_TFs	v1.01
EHF	EHF	188	Lambert_human_TFs	v1.01
ELF1	ELF1	189	Lambert_human_TFs	v1.01
ELF2	ELF2	190	Lambert_human_TFs	v1.01
ELF3	ELF3	191	Lambert_human_TFs	v1.01
ELF4	ELF4	192	Lambert_human_TFs	v1.01
ELF5	ELF5	193	Lambert_human_TFs	v1.01
ELK1	ELK1	194	Lambert_human_TFs	v1.01
ELK3	ELK3	195	Lambert_human_TFs	v1.01
ELK4	ELK4	196	Lambert_human_TFs	v1.01
EMX1	EMX1	197	Lambert_human_TFs	v1.01
EMX2	EMX2	198	Lambert_human_TFs	v1.01
EN1	EN1	199	Lambert_human_TFs	v1.01
EN2	EN2	200	Lambert_human_TFs	v1.01
EOMES	EOMES	201	Lambert_human_TFs	v1.01
EPAS1	EPAS1	202	Lambert_human_TFs	v1.01
ERF	ERF	203	Lambert_human_TFs	v1.01
ERG	ERG	204	Lambert_human_TFs	v1.01
ESR1	ESR1	205	Lambert_human_TFs	v1.01
ESR2	ESR2	206	Lambert_human_TFs	v1.01
