tf_symbol	tf_symbol_original	catalogue_index	reference_name	reference_version	rna_var_name	rna_gene_symbol	present_in_rna	included_as_tf_node	exclusion_reason
EGR1	EGR1	184	Lambert_human_TFs	v1.01	EGR1	EGR1	True	True	
EGR2	EGR2	185	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EGR3	EGR3	186	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EGR4	EGR4	187	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EHF	EHF	188	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELF1	ELF1	189	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELF2	ELF2	190	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELF3	ELF3	191	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELF4	ELF4	192	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELF5	ELF5	193	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELK1	ELK1	194	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELK3	ELK3	195	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ELK4	ELK4	196	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EMX1	EMX1	197	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EMX2	EMX2	198	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EN1	EN1	199	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EN2	EN2	200	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EOMES	EOMES	201	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
EPAS1	EPAS1	202	Lambert_human_TFs	v1.01	EPAS1	EPAS1	True	True	
ERF	ERF	203	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ERG	ERG	204	Lambert_human_TFs	v1.01	ERG	ERG	True	True	
ESR1	ESR1	205	Lambert_human_TFs	v1.01	ESR1	ESR1	True	True	
ESR2	ESR2	206	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ESRRA	ESRRA	207	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ESRRB	ESRRB	208	Lambert_human_TFs	v1.01	ESRRB	ESRRB	True	True	
ESRRG	ESRRG	209	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ESX1	ESX1	210	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETS1	ETS1	211	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETS2	ETS2	212	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV1	ETV1	213	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV2	ETV2	214	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV3	ETV3	215	Lambert_human_TFs	v1.01			False	False	not_present_in_current_rna_gene_universe
ETV3L	ETV3L	216	Lambert_human_TFs	v1.01	ETV3L	ETV3L	True	True	
