leiden_0_6,celltypist_majority_voting,n_cells,cluster_n_cells,fraction_in_cluster
12,Non-classical monocytes,0,19,0.0
12,Plasma cells,0,19,0.0
12,Regulatory T cells,0,19,0.0
12,Tcm/Naive cytotoxic T cells,0,19,0.0
12,Tcm/Naive helper T cells,0,19,0.0
12,Tem/Effector helper T cells,0,19,0.0
12,Tem/Temra cytotoxic T cells,0,19,0.0
12,Tem/Trm cytotoxic T cells,0,19,0.0
12,pDC,0,19,0.0
13,Plasma cells,19,19,1.0
13,Age-associated B cells,0,19,0.0
13,CD16+ NK cells,0,19,0.0
13,CD8a/a,0,19,0.0
13,Classical monocytes,0,19,0.0
13,DC2,0,19,0.0
13,HSC/MPP,0,19,0.0
13,MAIT cells,0,19,0.0
13,Memory B cells,0,19,0.0
13,Naive B cells,0,19,0.0
13,Non-classical monocytes,0,19,0.0
13,Regulatory T cells,0,19,0.0
13,Tcm/Naive cytotoxic T cells,0,19,0.0
13,Tcm/Naive helper T cells,0,19,0.0
13,Tem/Effector helper T cells,0,19,0.0
13,Tem/Temra cytotoxic T cells,0,19,0.0
13,Tem/Trm cytotoxic T cells,0,19,0.0
13,pDC,0,19,0.0
