cell_type_broad,n_cells,quantile,atac_fragments,matrix_total_counts,matrix_n_accessible_peaks,atac_frip,atac_tss_fragment_fraction,atac_mitochondrial_fraction,atac_duplicate_fraction,atac_lowmapq_fraction
NK_cells,419,0.25,11677.5,16197.0,6574.5,0.6882688633375134,0.5473265913397589,9.632210157747113e-05,0.3830579890946585,0.06235506883511367
NK_cells,419,0.5,16031.0,21423.0,8097.0,0.7112250596537544,0.5739644970414202,0.00042295679333680374,0.39452703512768256,0.06964856230031949
NK_cells,419,0.75,18667.0,24162.5,9044.0,0.7356768703792649,0.5991052242311175,0.0014880210440746619,0.40244114984241974,0.07678761039911222
NK_cells,419,0.9,21145.799999999996,27452.6,10103.6,0.7626391147776065,0.6213267222760956,0.006499189125972421,0.4101708566990364,0.08303719623194193
NK_cells,419,0.95,24254.199999999997,29860.99999999999,10967.099999999999,0.7770450482097508,0.6348384416001898,0.014366154396317714,0.41316008097739193,0.08684375023909534
NK_cells,419,0.98,31591.759999999987,37609.75999999996,13172.399999999996,0.7862376939801095,0.6459748615061052,0.028082198822135404,0.42095323344413954,0.09199851085816803
NK_cells,419,0.99,36324.439999999995,44447.81999999999,14165.939999999997,0.7943608259003543,0.6555400387099838,0.04084455244202446,0.42386572433692415,0.09880945126599405
NK_cells,419,1.0,39321.0,50124.0,15338.0,0.8148520540074691,0.6996996996996997,0.06656640292944484,0.43983402489626555,0.1373134328358209
Naοve_B_cells,277,0.0,303.0,419.0,220.0,0.42108287837116704,0.36164361068921635,0.0,0.2898791182744726,0.043153526970954356
Naοve_B_cells,277,0.01,651.6800000000001,907.36,471.68,0.597763599124672,0.46892334328875035,1.7598295743991115e-05,0.29817862655230815,0.052015586834073056
Naοve_B_cells,277,0.02,853.5200000000001,1149.92,574.8800000000001,0.6694415149893884,0.5047319087247707,3.0973607561691966e-05,0.31773822126454054,0.05261576293726695
Naοve_B_cells,277,0.05,2510.6,3464.2000000000003,1746.6000000000001,0.6965797220825661,0.532391134079008,0.00016177361056783561,0.33608055295200484,0.05486623076272664
Naοve_B_cells,277,0.1,6201.0,8725.2,4070.8,0.7046482055621542,0.5406608857430143,0.0003171811143640038,0.36131161234701875,0.05735567975558023
Naοve_B_cells,277,0.25,14372.0,19751.0,7972.0,0.7140462621521958,0.5524851964830433,0.001110881471530433,0.38193177672382345,0.06296508299942759
Naοve_B_cells,277,0.5,17974.0,24494.0,9303.0,0.7244813706264837,0.5645950447636894,0.0028106805862276652,0.39463795777168076,0.07068819454826332
Naοve_B_cells,277,0.75,20486.0,27614.0,10266.0,0.7396372379906957,0.5773189326556544,0.009937034917000572,0.40204532756819783,0.07953048550997366
Naοve_B_cells,277,0.9,22107.4,29543.4,10809.8,0.7614002885061871,0.5972048763793096,0.039868394225703936,0.4126576724212414,0.08833822070621866
Naοve_B_cells,277,0.95,22995.6,30888.0,11192.8,0.775304264687717,0.6083203250999936,0.08504911298489919,0.418979860780097,0.09845444369004508
Naοve_B_cells,277,0.98,26576.96000000001,33119.08,11852.000000000002,0.7853437170617024,0.6185845504703743,0.1192248916433119,0.4248926330782312,0.10534135432998991
Naοve_B_cells,277,0.99,31261.440000000024,38782.120000000046,13754.36,0.7877742847118209,0.6283222676748689,0.15150086794383924,0.4278044202969907,0.11523894750279443
Naοve_B_cells,277,1.0,42192.0,57188.0,16842.0,0.7935563456933459,0.6423487544483986,0.17990045034368335,0.43506915436739996,0.13217263892779418
Naοve_CD4_T_cells_helpers,1703,0.0,181.0,96.0,49.0,0.18305387882852672,0.1587860404737198,0.0,0.16512020244622522,0.036544850498338874
Naοve_CD4_T_cells_helpers,1703,0.01,458.24,675.0,348.06,0.30160837184024636,0.24888335527653918,0.0,0.30873732543647886,0.049834760724412154
Naοve_CD4_T_cells_helpers,1703,0.02,658.92,958.08,491.08,0.5554457541264923,0.44130491560355967,0.0,0.3240250235343264,0.0518523719394981
Naοve_CD4_T_cells_helpers,1703,0.05,1186.8000000000002,1691.8000000000004,843.2000000000003,0.6819718525081899,0.5486738837039831,6.337478850451439e-05,0.3447005722600974,0.05429140825395997
Naοve_CD4_T_cells_helpers,1703,0.1,3620.4000000000005,5188.0,2510.8,0.694185736999121,0.5604598671835125,0.00022352736027161436,0.35751101003663505,0.05729114798516066
Naοve_CD4_T_cells_helpers,1703,0.25,11959.5,16065.5,6572.5,0.709136625835619,0.577969294576558,0.000820685676224435,0.37663476861128553,0.06409340181696564
Naοve_CD4_T_cells_helpers,1703,0.5,15763.0,21309.0,8127.0,0.7244892184051163,0.5954653247729771,0.0021329684481648423,0.39030473571451413,0.07334156213221575
Naοve_CD4_T_cells_helpers,1703,0.75,18008.5,23935.0,8971.0,0.7411349426435634,0.6127344691673409,0.0060976447172113105,0.4005118221293807,0.08415846579075645
Naοve_CD4_T_cells_helpers,1703,0.9,20060.6,26111.399999999998,9658.8,0.7580539679577338,0.6295596055605864,0.03827781643085919,0.4082706875304974,0.09538674663828373
Naοve_CD4_T_cells_helpers,1703,0.95,23184.899999999994,28145.899999999998,10329.3,0.7705914590765224,0.6406128866175668,0.0638696663502343,0.4127809336354707,0.1026135285025696
Naοve_CD4_T_cells_helpers,1703,0.98,34917.72,43081.880000000005,13625.0,0.7836585942382354,0.6526670324779764,0.0860894374835705,0.41874241711650756,0.11306142595284652
Naοve_CD4_T_cells_helpers,1703,0.99,41077.78000000003,47940.98000000001,14406.26,0.7906431993415803,0.6618612217560863,0.12183157457471665,0.42298638339359973,0.12393906844462113
Naοve_CD4_T_cells_helpers,1703,1.0,238031.0,78803.0,27774.0,0.8333333333333334,0.7175572519083969,0.4293547026571067,0.4394419947912638,0.23566214807090718
Naοve_CD8_T_cells,1434,0.0,159.0,212.0,111.0,0.30030859692654144,0.2785295773473175,0.0,0.21264298615291993,0.03598971722365039
Naοve_CD8_T_cells,1434,0.01,559.32,742.63,366.66,0.6563019895032859,0.5294007976267656,0.0,0.31583133289320475,0.052151415151328644
Naοve_CD8_T_cells,1434,0.02,898.94,1266.58,614.18,0.6756652662962077,0.5392364993316571,6.656174184280079e-05,0.32786999629438823,0.053629498111415194
Naοve_CD8_T_cells,1434,0.05,1983.6,2729.5,1374.5,0.6850806735555701,0.5509310751563924,0.00020512927801332319,0.34474084446942144,0.05618939238807546
Naοve_CD8_T_cells,1434,0.1,5056.6,7065.2,3303.0000000000005,0.692937606688177,0.5589225875822481,0.0004484838645122288,0.35870872315911684,0.05888125669749206
Naοve_CD8_T_cells,1434,0.25,13711.5,18789.25,7479.0,0.7051287366613337,0.5707243673331224,0.0011891252043426453,0.378716466690739,0.06415492140575095
Naοve_CD8_T_cells,1434,0.5,17282.5,23234.5,8829.0,0.7181013761776889,0.5848694726823223,0.002703551484043791,0.39080494618954664,0.07167093425714116
